Country,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
Afghanistan: 33.93911 67.70995,8,1,2,0,0,1,1
Albania: 41.15333 20.16833,3,0,0,0,0,2,1
Algeria: 28.03389 1.65963,10,0,1,0,0,1,0
American Samoa: -14.30594 -170.69620,0,0,0,0,0,0,2
Andorra: 42.50628 1.52180,1,0,0,0,0,0,0
Angola: -11.20269 17.87389,15,0,0,0,0,1,0
Anguilla: 18.22055 -63.06862,1,0,0,0,0,0,2
Antarctica: -82.86275 -135.00000,0,0,0,0,0,2,1
Antigua and Barbuda: 17.06082 -61.79643,0,0,1,0,0,0,2
Argentina: -38.41610 -63.61667,25,2,0,0,0,0,0
Armenia: 40.06910 45.03819,6,0,1,0,0,0,0
Aruba: 12.52111 -69.96834,0,0,0,0,0,1,0
Australia: -25.27440 133.77514,7,0,0,0,1,4,0
Austria: 47.51623 14.55007,3,0,1,0,0,4,0
Azerbaijan: 40.14310 47.57693,7,0,1,0,0,1,0
Bahrain: 26.06670 50.55770,1,0,0,0,0,1,0
Bangladesh: 23.68499 90.35633,17,3,7,0,0,3,0
Barbados: 13.19389 -59.54320,0,0,1,0,0,1,0
Belarus: 53.70981 27.95339,1,0,2,0,0,2,0
Belgium: 50.50389 4.46994,1,0,0,0,0,5,0
Belize: 17.18988 -88.49765,6,0,0,0,0,0,0
Benin: 9.30769 2.31583,5,1,0,0,0,0,0
Bermuda: 32.30780 -64.75050,0,0,0,0,0,1,0
Bhutan: 27.51416 90.43360,15,1,1,0,0,0,0
Bolivia: -16.29015 -63.58865,19,0,0,0,0,0,0
Bonaire Sint Eustatius and Saba: 12.17836 -68.23853,0,0,0,0,0,1,1
Bosnia and Herzegovina: 43.91589 17.67908,2,0,0,0,0,4,1
Botswana: -22.32847 24.68487,5,0,0,1,0,2,0
Bouvet Island: -54.42320 3.41319,0,0,0,0,0,0,1
Brazil: -14.23500 -51.92528,53,2,0,0,0,0,0
British Indian Ocean Territory: -7.33476 72.42423,0,0,0,0,0,0,1
Brunei Darussalam: 4.53528 114.72767,8,0,2,0,0,2,0
Bulgaria: 42.73388 25.48583,7,0,1,0,0,1,0
Burkina Faso: 12.23833 -1.56159,5,1,0,0,0,0,0
Burma: 21.91397 95.95622,37,4,1,0,0,2,0
Burundi: -3.37306 29.91889,7,0,1,0,0,1,0
Cambodia: 12.56568 104.99096,31,1,2,0,0,0,0
Cameroon: 7.36972 12.35472,12,1,2,0,0,1,0
Canada: 56.13037 -106.34677,3,1,1,0,0,2,0
Cape Verde: 15.12173 -23.60508,1,0,0,0,0,2,0
Cayman Islands: 19.31330 -81.25460,1,0,0,0,0,1,1
Central African Republic: 6.61111 20.93944,8,1,0,0,0,0,0
Chad: 15.45417 18.73221,9,1,1,0,0,0,1
Chile: -35.67515 -71.54297,12,1,0,0,0,0,0
China: 35.86166 104.19540,72,3,4,0,0,2,0
Christmas Island: -10.44753 105.69045,2,0,0,0,0,0,1
Cocos Islands: -12.1167 96.9000,0,0,0,0,0,1,1
Colombia: 4.57087 -74.29733,36,0,0,0,0,1,0
Comoros: -11.64550 43.33330,3,0,0,0,0,1,0
Congo: -0.22802 15.82766,5,0,0,0,0,1,0
Cook Islands: -21.23674 -159.77767,0,0,0,0,0,0,2
Costa Rica: 9.74892 -83.75343,10,1,0,0,0,0,0
Côte d'Ivoire: 7.1317 -5.5230,11,1,0,0,0,0,0
Croatia: 45.10000 15.20000,5,0,1,0,0,0,2
Cuba: 21.52176 -77.78117,9,2,0,0,1,0,1
Curaçao: 12.1833 -69.0000,0,0,0,0,0,1,1
Cyprus: 35.12641 33.42986,3,0,0,0,0,3,0
Czech Republic: 49.81749 15.47296,2,0,1,0,0,2,1
Democratic Republic of the Congo: -4.03833 21.75866,13,1,1,0,0,2,0
Denmark: 56.26392 9.50178,1,0,0,0,0,6,0
Djibouti: 11.82514 42.59027,4,0,1,0,0,1,0
Dominica: 15.41500 -61.37098,3,0,0,0,0,0,1
Dominican Republic: 18.73569 -70.16265,5,0,0,0,0,0,1
Ecuador: -1.83124 -78.18341,16,3,1,0,0,0,1
Egypt: 26.82055 30.80250,3,0,2,0,0,6,1
El Salvador: 13.79419 -88.89653,3,0,1,0,0,0,0
Equatorial Guinea: 1.65080 10.26789,6,0,0,0,0,0,0
Eritrea: 15.17938 39.78233,7,1,1,0,0,0,0
Estonia: 58.59527 25.01361,1,0,1,0,0,1,0
Ethiopia: 9.14500 40.48967,13,3,1,0,0,0,0
Falkland Islands (Islas Malvinas): -51.79625 -59.52361,2,0,0,0,0,2,0
Faroe Islands: 61.89263 -6.91181,0,0,0,0,0,1,1
Fiji: -17.71337 178.06503,2,0,0,0,0,1,0
Finland: 61.92411 25.74815,1,0,1,0,0,4,0
France: 46.22764 2.21375,5,0,0,0,0,5,0
French Guiana: 3.93389 -53.12578,3,0,0,0,0,0,1
French Polynesia: -17.67974 -149.40684,6,0,0,0,0,0,0
French Southern and Antarctic Lands: -49.28037 69.34856,2,0,0,0,0,0,0
Gabon: -0.80369 11.60944,4,0,1,0,0,1,0
Georgia: 42.1902 43.2781,6,0,2,0,0,1,0
Germany: 51.16569 10.45153,1,1,2,0,0,6,0
Ghana: 7.94653 -1.02319,8,0,1,0,0,0,0
Gibraltar: 36.1430 -5.3530,2,0,0,0,1,0,0
Greece: 39.07421 21.82431,7,0,0,0,0,2,1
Greenland: 71.70694 -42.60430,0,0,0,0,0,2,0
Grenada: 12.11650 -61.67900,0,0,0,0,0,0,1
Guadeloupe: 16.26500 -61.55100,1,0,1,0,0,0,1
Guam: 13.44430 144.79373,2,0,2,0,0,0,1
Guatemala: 15.78347 -90.23076,9,0,0,0,0,0,0
Guinea-Bissau: 11.80375 -15.18041,6,1,0,0,0,0,0
Guinea: 9.94559 -9.69665,11,0,0,0,0,0,0
Guyana: 4.86042 -58.93018,5,0,0,0,0,0,1
Haiti: 18.97119 -72.28521,3,1,1,0,0,0,1
Heard Island and McDonald Islands: -53.08181 73.50416,2,0,0,0,0,0,0
Honduras: 15.20000 -86.24191,12,0,0,0,0,0,2
Hong Kong: 22.39643 114.10950,6,0,0,0,0,1,0
Hungary: 47.16249 19.50330,4,0,2,0,0,3,0
Iceland: 64.96305 -19.02084,0,0,0,0,0,1,0
India: 20.59368 78.96288,59,3,4,0,0,3,0
Indonesia: -0.78927 113.92133,91,2,1,0,0,0,0
Iran: 32.42791 53.68805,14,0,1,0,0,0,0
Iraq: 33.22319 43.67929,6,1,2,0,0,0,0
Ireland: 53.41291 -8.24389,2,0,0,0,0,2,0
Israel: 31.04605 34.85161,4,0,1,2,0,5,0
Italy: 41.87194 12.56738,12,0,0,0,0,4,0
Jamaica: 18.1315 -77.2736,0,1,0,0,0,1,0
Japan: 36.20482 138.25292,17,0,1,0,0,3,1
Jordan: 30.58516 36.23841,5,0,2,0,0,2,0
Kazakhstan: 48.01957 66.92368,12,0,4,1,0,0,0
Kenya: -0.02356 37.90619,14,0,0,0,0,0,0
Kiribati: 1.86686 -157.35992,4,0,0,0,0,0,0
Kuwait: 29.31166 47.48177,2,0,1,0,0,2,0
Kyrgyzstan: 41.20438 74.76610,6,0,2,0,0,1,1
Laos: 19.85627 102.49550,38,2,3,0,0,0,0
Latvia: 56.87964 24.60319,1,0,1,0,0,1,0
Lebanon: 33.9270 35.6951,3,0,2,0,0,1,0
Lesotho: -29.60999 28.23361,1,0,0,0,0,2,0
Liberia: 6.42805 -9.42950,7,0,0,0,0,1,0
Libya: 26.33510 17.22833,4,0,2,0,0,1,2
Lithuania: 55.16944 23.88127,1,0,2,0,0,0,0
Luxembourg: 49.81527 6.12958,0,0,0,0,0,2,0
Macedonia (FYROM): 41.60863 21.74527,4,0,0,0,0,1,1
Madagascar: -18.76695 46.86911,63,0,0,0,0,0,0
Malawi: -13.25431 34.30152,5,0,0,1,0,0,0
Malaysia: 4.21048 101.97577,27,2,4,0,0,0,0
Maldives: 1.97725 73.53610,0,0,0,0,0,1,0
Mali: 17.57069 -3.99617,9,1,0,0,0,2,0
Malta: 35.93750 14.37542,2,0,0,0,0,3,1
Martinique: 14.64153 -61.02417,1,0,1,0,0,0,1
Mauritania: 21.00789 -10.94083,8,0,2,0,0,0,0
Mauritius: -20.34840 57.55215,2,0,2,0,0,3,0
Mayotte: -12.82750 45.16624,1,0,0,0,0,1,0
Mexico: 19.0000 -99.0000,23,2,2,2,0,0,1
Micronesia: 6.88746 158.21507,3,0,0,0,0,0,0
Moldova: 47.41163 28.36989,4,0,2,0,0,0,0
Monaco: 43.7328 7.4197,0,0,0,0,0,0,1
Mongolia: 46.86250 103.84666,10,0,0,1,0,3,0
Montenegro: 42.70868 19.37439,7,0,1,0,0,1,2
Montserrat: 16.74250 -62.18737,1,0,0,0,0,0,2
Morocco: 31.79170 -7.09262,7,0,1,1,0,4,0
Mozambique: -18.66569 35.52956,9,0,0,0,0,2,0
Namibia: -22.95764 18.49041,12,0,0,0,0,0,0
Nepal: 28.39486 84.12401,23,0,4,0,0,0,0
New Caledonia: -20.90431 165.61804,4,0,1,0,0,0,0
New Zealand: -40.90056 174.88597,11,0,1,0,0,2,0
Nicaragua: 12.86542 -85.20723,5,0,0,0,0,1,1
Niger: 17.60779 8.08167,9,0,0,0,0,0,1
Nigeria: 9.08200 8.67528,10,1,2,0,0,0,0
Niue: -19.05445 -169.86723,0,0,0,0,0,0,2
North Korea: 40.33985 127.51009,5,1,1,0,0,0,0
Northern Mariana Islands: 15.09790 145.67390,4,0,0,0,0,0,0
Norway: 60.47202 8.46895,1,0,0,0,0,3,0
Oman: 21.51258 55.92325,4,0,0,0,0,0,0
Pakistan: 30.37532 69.34512,12,2,3,0,0,2,0
Palau: 7.51498 134.58252,1,0,0,0,0,1,0
Panama: 8.53798 -80.78213,13,0,0,0,0,2,0
Papua New Guinea: -6.31499 143.95555,22,1,0,0,0,0,0
Paraguay: -23.44250 -58.44383,15,1,0,0,0,0,0
Peru: -9.18997 -75.01515,27,0,1,0,0,0,0
Philippines: 12.87972 121.77402,35,1,0,0,0,1,0
Pitcairn Islands: -24.37649 -128.32437,1,0,0,0,0,0,1
Poland: 51.91944 19.14514,2,0,3,0,0,6,0
Portugal: 39.39987 -8.22445,7,0,0,0,0,5,0
Puerto Rico: 18.22083 -66.59015,1,0,0,0,2,1,1
Qatar: 25.35483 51.18388,1,0,0,0,0,1,1
Réunion: -21.1144 55.5325,6,0,0,0,0,1,0
Romania: 45.94316 24.96676,8,0,0,0,0,1,0
Russian Federation: 61.52401 105.31876,33,2,2,0,0,2,0
Rwanda: -1.94028 29.87389,9,0,2,0,0,0,0
Saint Barthélemy: 17.9000 -62.8333,1,0,0,0,0,0,0
Saint Helena: -15.9500 -5.7000,6,0,0,0,0,0,0
Saint Kitts and Nevis: 17.35782 -62.78300,0,0,2,0,0,0,2
Saint Lucia: 13.90944 -60.97889,0,0,0,0,0,0,1
Saint Martin: 18.08255 -63.05225,0,0,1,0,0,0,2
Saint Vincent and the Grenadines: 13.25338 -61.19625,1,0,0,0,0,0,1
Samoa: -13.75903 -172.10463,1,1,0,0,0,0,2
Sao Tomé and Principe: 0.3176 6.6688,3,0,0,0,0,0,0
Saudi Arabia: 23.88594 45.07916,6,0,0,1,0,1,1
Senegal: 14.49740 -14.45236,7,0,1,1,0,1,0
Serbia: 44.01652 21.00586,6,0,1,0,0,1,1
Seychelles: -4.67957 55.49198,4,1,1,0,0,1,0
Sierra Leone: 8.46055 -11.77989,8,0,1,0,0,1,0
Singapore: 1.35208 103.81984,5,0,1,0,2,0,0
Sint Maarten: 18.030 -63.0500,0,0,0,0,0,1,1
Slovakia: 48.66903 19.69902,2,0,1,0,0,4,0
Slovenia: 46.15124 14.99546,1,0,0,0,0,3,1
Solomon Islands: -9.64571 160.15619,12,1,0,0,0,0,1
Somalia: 5.15215 46.19962,9,0,1,0,0,3,0
South Africa: -30.55948 22.93751,15,0,0,0,0,1,0
South Georgia and the South Sandwich Islands: -54.42958 -36.58791,1,0,0,0,0,2,0
South Korea: 35.90776 127.76692,6,0,1,0,0,2,0
South Sudan: 7.96309 30.15893,5,0,0,0,0,0,0
Spain: 40.46367 -3.74922,15,0,0,0,0,5,0
Sri Lanka: 7.87305 80.77180,8,0,1,0,1,2,1
Sudan: 12.86281 30.21764,11,0,2,0,0,0,0
Suriname: 3.91931 -56.02778,3,0,0,0,0,0,1
Svalbard and Jan Mayen: 77.55360 23.67027,0,0,0,0,0,3,0
Swaziland: -26.52250 31.46587,3,0,1,1,0,0,0
Sweden: 60.12816 18.64350,1,0,0,0,0,5,0
Switzerland: 46.81819 8.22751,2,0,1,0,0,4,0
Syria: 34.80207 38.99681,1,0,0,0,0,0,0
Syria: 34.80208 38.99681,4,0,2,0,0,0,1
Taiwan: 23.69781 120.96052,8,0,2,0,0,1,0
Tajikistan: 38.86103 71.27609,7,0,2,0,0,1,1
Tanzania: -6.36903 34.88882,18,0,0,0,0,1,0
Thailand: 15.87003 100.99254,45,2,5,1,0,0,0
The Bahamas: 25.03428 -77.39628,1,0,0,0,0,0,1
The Gambia: 13.44318 -15.31014,5,0,2,0,0,0,0
The Netherlands: 52.13263 5.29127,1,0,1,0,0,5,0
Timor-Leste: -8.87422 125.72754,5,0,0,0,0,0,0
Togo: 8.61954 0.82478,4,2,0,0,0,0,0
Tokelau: -9.20020 -171.84840,0,0,0,0,0,0,2
Tonga: -21.17899 -175.19824,1,0,1,0,0,0,1
Trinidad and Tobago: 10.69180 -61.22250,3,1,0,0,0,0,1
Tunisia: 33.88692 9.53750,7,0,2,1,0,1,0
Turkey: 38.96375 35.24332,15,0,3,1,0,0,0
Turkmenistan: 38.96972 59.55628,6,1,2,0,0,0,1
Turks and Caicos Islands: 21.69402 -71.79793,0,0,0,0,0,1,2
Tuvalu: -10.72807 179.47266,0,0,0,0,0,0,2
Uganda: 1.37333 32.29028,10,1,0,0,0,0,0
Ukraine: 48.37943 31.16558,8,0,2,1,0,0,0
United Arab Emirates: 23.42408 53.84782,3,1,0,0,0,0,0
United Kingdom: 55.37805 -3.43597,2,0,0,0,0,5,0
United States Minor Outlying Islands: 5.88062 -162.07592,0,0,0,0,0,0,2
United States of America: 37.09024 -95.71289,16,2,0,4,2,2,2
United States Virgin Islands: 18.33576 -64.89633,0,0,0,0,0,2,1
Uruguay: -32.52278 -55.76584,9,0,1,0,0,0,0
Uzbekistan: 41.37749 64.58526,10,0,1,1,0,0,1
Vanuatu: -15.37671 166.95916,3,0,1,0,0,0,0
Venezuela: 6.42375 -66.58973,17,0,1,0,0,0,2
Vietnam: 14.05832 108.27720,55,5,2,1,0,2,0
Wallis and Futuna: -14.29380 -178.11650,0,0,0,0,0,0,2
West Bank: 31.94657 35.30272,3,0,1,0,0,1,1
Western Sahara: 24.21553 -12.88583,2,0,1,0,0,1,0
Yemen: 15.55273 48.51639,5,0,0,0,0,2,0
Zambia: -13.13390 27.84933,6,0,0,1,0,1,0
Zimbabwe: -19.01544 29.15486,7,0,0,0,0,0,0
,"1,894",80,169,23,10,254,96