Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Kyrgyzstan: 41.20438 74.76610
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Latvia: 56.87964 24.60319
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Lebanon: 33.9270 35.6951
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Lesotho: -29.60999 28.23361
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Lesotho: -29.60999 28.23361
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Liberia: 6.42805 -9.42950
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Libya: 26.33510 17.22833
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Luxembourg: 49.81527 6.12958
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Luxembourg: 49.81527 6.12958
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Macedonia (FYROM): 41.60863 21.74527
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Maldives: 1.97725 73.53610
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Mali: 17.57069 -3.99617
"Emerald Starling, Iris Glossy-Starling",DD,106006770,Coccycolius iris,AVES,unknown,Mali: 17.57069 -3.99617
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Malta: 35.93750 14.37542
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Malta: 35.93750 14.37542
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Malta: 35.93750 14.37542
"Madagascar Fish-eagle, Madagascar Fish Eagle, Madagascar Fish-Eagle",CR,106003362,Haliaeetus vociferoides,AVES,decreasing,Mauritius: -20.34840 57.55215
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,Mauritius: -20.34840 57.55215
Barau's Petrel,EN,106003900,Pterodroma baraui,AVES,decreasing,Mauritius: -20.34840 57.55215
"Humblot's Heron, Madagascar Heron",EN,106003721,Ardea humbloti,AVES,decreasing,Mayotte: -12.82750 45.16624
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Mongolia: 46.86250 103.84666
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Mongolia: 46.86250 103.84666
"Japanese White Stork, Oriental Stork, Oriental White Stork",EN,106003836,Ciconia boyciana,AVES,decreasing,Mongolia: 46.86250 103.84666
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Montenegro: 42.70868 19.37439
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Morocco: 31.79170 -7.09262
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Morocco: 31.79170 -7.09262
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Morocco: 31.79170 -7.09262
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Morocco: 31.79170 -7.09262
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Mozambique: -18.66569 35.52956
Barau's Petrel,EN,106003900,Pterodroma baraui,AVES,decreasing,Mozambique: -18.66569 35.52956
"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",EN,106003965,Thalassarche chlororhynchos,AVES,decreasing,New Zealand: -40.90056 174.88597
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,New Zealand: -40.90056 174.88597
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Nicaragua: 12.86542 -85.20723
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Norway: 60.47202 8.46895
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Norway: 60.47202 8.46895
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Norway: 60.47202 8.46895
"Indian Black Vulture, Pondicherry Vulture, Red-headed Vulture",CR,106003383,Sarcogyps calvus,AVES,decreasing,Pakistan: 30.37532 69.34512
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Pakistan: 30.37532 69.34512
"Japanese Night-heron, Japanese Night Heron, Japanese Night-Heron",EN,106003746,Gorsachius goisagi,AVES,decreasing,Palau: 7.51498 134.58252
Waved Albatross,CR,106003955,Phoebastria irrorata,AVES,decreasing,Panama: 8.53798 -80.78213
Galapagos Penguin,EN,106003864,Spheniscus mendiculus,AVES,decreasing,Panama: 8.53798 -80.78213
"Japanese White Stork, Oriental Stork, Oriental White Stork",EN,106003836,Ciconia boyciana,AVES,decreasing,Philippines: 12.87972 121.77402
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Poland: 51.91944 19.14514
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Poland: 51.91944 19.14514
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Poland: 51.91944 19.14514
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Poland: 51.91944 19.14514
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Poland: 51.91944 19.14514
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Poland: 51.91944 19.14514
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Portugal: 39.39987 -8.22445
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Portugal: 39.39987 -8.22445
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Portugal: 39.39987 -8.22445
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Portugal: 39.39987 -8.22445
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Portugal: 39.39987 -8.22445
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Puerto Rico: 18.22083 -66.59015
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Qatar: 25.35483 51.18388
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,Réunion: -21.1144 55.5325
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Romania: 45.94316 24.96676
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Russian Federation: 61.52401 105.31876
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Russian Federation: 61.52401 105.31876
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Saudi Arabia: 23.88594 45.07916
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Senegal: 14.49740 -14.45236
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Serbia: 44.01652 21.00586
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Seychelles: -4.67957 55.49198
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Sierra Leone: 8.46055 -11.77989
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Sint Maarten: 18.030 -63.0500
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Slovakia: 48.66903 19.69902
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Slovakia: 48.66903 19.69902
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Slovakia: 48.66903 19.69902
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Slovakia: 48.66903 19.69902
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Slovenia: 46.15124 14.99546
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Slovenia: 46.15124 14.99546
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Slovenia: 46.15124 14.99546
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Somalia: 5.15215 46.19962
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Somalia: 5.15215 46.19962
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Somalia: 5.15215 46.19962
Barau's Petrel,EN,106003900,Pterodroma baraui,AVES,decreasing,South Africa: -30.55948 22.93751
Atlantic Petrel,EN,106003909,Pterodroma incerta,AVES,decreasing,South Georgia and the South Sandwich Islands: -54.42958 -36.58791
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,South Georgia and the South Sandwich Islands: -54.42958 -36.58791
"Siberian Crane, Siberian White Crane, Snow Crane",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,South Korea: 35.90776 127.76692
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,South Korea: 35.90776 127.76692
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Spain: 40.46367 -3.74922
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Spain: 40.46367 -3.74922
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Spain: 40.46367 -3.74922
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Spain: 40.46367 -3.74922
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Spain: 40.46367 -3.74922
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,Sri Lanka: 7.87305 80.77180
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Sri Lanka: 7.87305 80.77180
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Svalbard and Jan Mayen: 77.55360 23.67027
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Svalbard and Jan Mayen: 77.55360 23.67027
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Svalbard and Jan Mayen: 77.55360 23.67027
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Sweden: 60.12816 18.64350
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Sweden: 60.12816 18.64350
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Sweden: 60.12816 18.64350
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Sweden: 60.12816 18.64350
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Sweden: 60.12816 18.64350
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Switzerland: 46.81819 8.22751
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Switzerland: 46.81819 8.22751
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Switzerland: 46.81819 8.22751
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Switzerland: 46.81819 8.22751
"Japanese Crane, Manchurian Crane, Red-crowned Crane",EN,106002798,Grus japonensis,AVES,decreasing,Taiwan: 23.69781 120.96052
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Tajikistan: 38.86103 71.27609
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Tanzania: -6.36903 34.88882
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,The Netherlands: 52.13263 5.29127
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,The Netherlands: 52.13263 5.29127
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,The Netherlands: 52.13263 5.29127
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,The Netherlands: 52.13263 5.29127
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,The Netherlands: 52.13263 5.29127
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Tunisia: 33.88692 9.53750
"Blue-headed Quail-dove, Blue-headed Quail-Dove",EN,106002603,Starnoenas cyanocephala,AVES,decreasing,Turks and Caicos Islands: 21.69402 -71.79793
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,United Kingdom: 55.37805 -3.43597
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,United Kingdom: 55.37805 -3.43597
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,United Kingdom: 55.37805 -3.43597
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,United Kingdom: 55.37805 -3.43597
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,United Kingdom: 55.37805 -3.43597
"Spoon-billed Sandpiper, Spoonbill Sandpiper",CR,106003060,Eurynorhynchus pygmeus,AVES,decreasing,United States of America: 37.09024 -95.71289
"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",EN,106003965,Thalassarche chlororhynchos,AVES,decreasing,United States of America: 37.09024 -95.71289
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,United States Virgin Islands: 18.33576 -64.89633
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,United States Virgin Islands: 18.33576 -64.89633
"Andrews' Frigatebird, Christmas Frigatebird, Christmas Island Frigatebird",CR,106003847,Fregata andrewsi,AVES,decreasing,Vietnam: 14.05832 108.27720
"Japanese Night-heron, Japanese Night Heron, Japanese Night-Heron",EN,106003746,Gorsachius goisagi,AVES,decreasing,Vietnam: 14.05832 108.27720
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,West Bank: 31.94657 35.30272
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Western Sahara: 24.21553 -12.88583
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Yemen: 15.55273 48.51639
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Yemen: 15.55273 48.51639
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Zambia: -13.13390 27.84933